when,stage,step,total,alpha,beta,loss,rmse,best_alpha,best_beta,best_loss,best_rmse,violation_rate
2025-10-17T19:42:44,stage1,59,156,2.0,2.3000000000000003,1.226667,0.101105,0.5,1.1,0.630161515318175,0.07246617114892157,0.0
2025-10-17T19:42:51,stage1,60,156,2.0,2.5,1.301792,0.104155,0.5,1.1,0.630161515318175,0.07246617114892157,0.0
2025-10-17T19:42:58,stage1,61,156,2.5,0.3,1.194328,0.099763,0.5,1.1,0.630161515318175,0.07246617114892157,0.0
2025-10-17T19:43:04,stage1,62,156,2.5,0.5,0.684515,0.075527,0.5,1.1,0.630161515318175,0.07246617114892157,0.0
2025-10-17T19:43:11,stage1,63,156,2.5,0.7,1.119943,0.096607,0.5,1.1,0.630161515318175,0.07246617114892157,0.0
2025-10-17T19:43:18,stage1,64,156,2.5,0.9,0.971701,0.089986,0.5,1.1,0.630161515318175,0.07246617114892157,0.0
2025-10-17T19:43:24,stage1,65,156,2.5,1.1,1.096796,0.095603,0.5,1.1,0.630161515318175,0.07246617114892157,0.0
2025-10-17T19:43:31,stage1,66,156,2.5,1.3,1.056175,0.093816,0.5,1.1,0.630161515318175,0.07246617114892157,0.0
2025-10-17T19:43:38,stage1,67,156,2.5,1.5,1.025695,0.092452,0.5,1.1,0.630161515318175,0.07246617114892157,0.0
2025-10-17T19:43:44,stage1,68,156,2.5,1.7000000000000002,1.108563,0.096115,0.5,1.1,0.630161515318175,0.07246617114892157,0.0
2025-10-17T19:43:51,stage1,69,156,2.5,1.9000000000000001,1.131537,0.097105,0.5,1.1,0.630161515318175,0.07246617114892157,0.0
2025-10-17T19:43:57,stage1,70,156,2.5,2.1,1.090527,0.09533,0.5,1.1,0.630161515318175,0.07246617114892157,0.0
2025-10-17T19:44:04,stage1,71,156,2.5,2.3000000000000003,1.151815,0.097972,0.5,1.1,0.630161515318175,0.07246617114892157,0.0
2025-10-17T19:44:10,stage1,72,156,2.5,2.5,1.200042,0.100002,0.5,1.1,0.630161515318175,0.07246617114892157,0.0
2025-10-17T19:44:17,stage1,73,156,3.0,0.3,1.103773,0.095907,0.5,1.1,0.630161515318175,0.07246617114892157,0.0
2025-10-17T19:44:23,stage1,74,156,3.0,0.5,1.177902,0.099075,0.5,1.1,0.630161515318175,0.07246617114892157,0.0
2025-10-17T19:44:30,stage1,75,156,3.0,0.7,0.832735,0.083303,0.5,1.1,0.630161515318175,0.07246617114892157,0.0
2025-10-17T19:44:36,stage1,76,156,3.0,0.9,1.095807,0.09556,0.5,1.1,0.630161515318175,0.07246617114892157,0.0
2025-10-17T19:44:43,stage1,77,156,3.0,1.1,0.994309,0.091027,0.5,1.1,0.630161515318175,0.07246617114892157,0.0
2025-10-17T19:44:49,stage1,78,156,3.0,1.3,1.033081,0.092785,0.5,1.1,0.630161515318175,0.07246617114892157,0.0
2025-10-17T19:44:56,stage1,79,156,3.0,1.5,0.948868,0.088923,0.5,1.1,0.630161515318175,0.07246617114892157,0.0
2025-10-17T19:45:02,stage1,80,156,3.0,1.7000000000000002,1.086224,0.095141,0.5,1.1,0.630161515318175,0.07246617114892157,0.0
2025-10-17T19:45:09,stage1,81,156,3.0,1.9000000000000001,0.950432,0.088996,0.5,1.1,0.630161515318175,0.07246617114892157,0.0
2025-10-17T19:45:17,stage1,82,156,3.0,2.1,0.768656,0.080034,0.5,1.1,0.630161515318175,0.07246617114892157,0.0
2025-10-17T19:45:23,stage1,83,156,3.0,2.3000000000000003,1.032912,0.092777,0.5,1.1,0.630161515318175,0.07246617114892157,0.0
2025-10-17T19:45:30,stage1,84,156,3.0,2.5,1.090037,0.095308,0.5,1.1,0.630161515318175,0.07246617114892157,0.0
2025-10-17T19:45:37,stage1,85,156,3.5,0.3,1.26937,0.10285,0.5,1.1,0.630161515318175,0.07246617114892157,0.0
2025-10-17T19:45:43,stage1,86,156,3.5,0.5,1.090962,0.095349,0.5,1.1,0.630161515318175,0.07246617114892157,0.0
2025-10-17T19:45:50,stage1,87,156,3.5,0.7,1.155332,0.098121,0.5,1.1,0.630161515318175,0.07246617114892157,0.0
2025-10-17T19:45:57,stage1,88,156,3.5,0.9,0.992839,0.09096,0.5,1.1,0.630161515318175,0.07246617114892157,0.0
2025-10-17T19:46:03,stage1,89,156,3.5,1.1,0.988997,0.090784,0.5,1.1,0.630161515318175,0.07246617114892157,0.0
2025-10-17T19:46:10,stage1,90,156,3.5,1.3,0.999758,0.091276,0.5,1.1,0.630161515318175,0.07246617114892157,0.0
2025-10-17T19:46:16,stage1,91,156,3.5,1.5,1.045317,0.093333,0.5,1.1,0.630161515318175,0.07246617114892157,0.0
2025-10-17T19:46:23,stage1,92,156,3.5,1.7000000000000002,0.92151,0.087631,0.5,1.1,0.630161515318175,0.07246617114892157,0.0
2025-10-17T19:46:30,stage1,93,156,3.5,1.9000000000000001,0.882747,0.085768,0.5,1.1,0.630161515318175,0.07246617114892157,0.0
2025-10-17T19:46:37,stage1,94,156,3.5,2.1,0.748568,0.078981,0.5,1.1,0.630161515318175,0.07246617114892157,0.0
2025-10-17T19:46:45,stage1,95,156,3.5,2.3000000000000003,0.764588,0.079822,0.5,1.1,0.630161515318175,0.07246617114892157,0.0
2025-10-17T19:46:52,stage1,96,156,3.5,2.5,1.051194,0.093595,0.5,1.1,0.630161515318175,0.07246617114892157,0.0
2025-10-17T19:46:58,stage1,97,156,4.0,0.3,1.120368,0.096625,0.5,1.1,0.630161515318175,0.07246617114892157,0.0
2025-10-17T19:47:05,stage1,98,156,4.0,0.5,0.896924,0.086454,0.5,1.1,0.630161515318175,0.07246617114892157,0.0
2025-10-17T19:47:12,stage1,99,156,4.0,0.7,1.051729,0.093618,0.5,1.1,0.630161515318175,0.07246617114892157,0.0
2025-10-17T19:47:18,stage1,100,156,4.0,0.9,1.067764,0.094329,0.5,1.1,0.630161515318175,0.07246617114892157,0.0
2025-10-17T19:47:25,stage1,101,156,4.0,1.1,0.974833,0.090131,0.5,1.1,0.630161515318175,0.07246617114892157,0.0
2025-10-17T19:47:31,stage1,102,156,4.0,1.3,0.891053,0.086171,0.5,1.1,0.630161515318175,0.07246617114892157,0.0
2025-10-17T19:47:38,stage1,103,156,4.0,1.5,0.944948,0.088739,0.5,1.1,0.630161515318175,0.07246617114892157,0.0
2025-10-17T19:47:44,stage1,104,156,4.0,1.7000000000000002,0.924121,0.087755,0.5,1.1,0.630161515318175,0.07246617114892157,0.0
2025-10-17T19:47:51,stage1,105,156,4.0,1.9000000000000001,0.96272,0.089569,0.5,1.1,0.630161515318175,0.07246617114892157,0.0
2025-10-17T19:47:57,stage1,106,156,4.0,2.1,0.99693,0.091147,0.5,1.1,0.630161515318175,0.07246617114892157,0.0
2025-10-17T19:48:04,stage1,107,156,4.0,2.3000000000000003,0.957954,0.089347,0.5,1.1,0.630161515318175,0.07246617114892157,0.0
2025-10-17T19:48:11,stage1,108,156,4.0,2.5,0.937799,0.088402,0.5,1.1,0.630161515318175,0.07246617114892157,0.0
2025-10-17T19:48:17,stage1,109,156,4.5,0.3,1.226865,0.101113,0.5,1.1,0.630161515318175,0.07246617114892157,0.0
2025-10-17T19:48:24,stage1,110,156,4.5,0.5,0.756958,0.079423,0.5,1.1,0.630161515318175,0.07246617114892157,0.0
2025-10-17T19:48:31,stage1,111,156,4.5,0.7,0.864662,0.084885,0.5,1.1,0.630161515318175,0.07246617114892157,0.0
2025-10-17T19:48:38,stage1,112,156,4.5,0.9,0.914915,0.087317,0.5,1.1,0.630161515318175,0.07246617114892157,0.0
2025-10-17T19:48:44,stage1,113,156,4.5,1.1,0.841692,0.08375,0.5,1.1,0.630161515318175,0.07246617114892157,0.0
2025-10-17T19:48:51,stage1,114,156,4.5,1.3,0.909882,0.087077,0.5,1.1,0.630161515318175,0.07246617114892157,0.0
2025-10-17T19:48:57,stage1,115,156,4.5,1.5,0.954307,0.089177,0.5,1.1,0.630161515318175,0.07246617114892157,0.0
2025-10-17T19:49:04,stage1,116,156,4.5,1.7000000000000002,0.872331,0.085261,0.5,1.1,0.630161515318175,0.07246617114892157,0.0
2025-10-17T19:49:11,stage1,117,156,4.5,1.9000000000000001,0.916513,0.087393,0.5,1.1,0.630161515318175,0.07246617114892157,0.0
2025-10-17T19:49:17,stage1,118,156,4.5,2.1,0.942164,0.088608,0.5,1.1,0.630161515318175,0.07246617114892157,0.0
2025-10-17T19:49:24,stage1,119,156,4.5,2.3000000000000003,0.900179,0.086611,0.5,1.1,0.630161515318175,0.07246617114892157,0.0
2025-10-17T19:49:31,stage1,120,156,4.5,2.5,0.890168,0.086128,0.5,1.1,0.630161515318175,0.07246617114892157,0.0
2025-10-17T19:49:37,stage1,121,156,5.0,0.3,0.801952,0.081749,0.5,1.1,0.630161515318175,0.07246617114892157,0.0
